"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-09",,,"94","H,,S",,,"85",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-10",,,"91","H,,S","100",",,S","82",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-11",,,"92","H,,S","101",",,S","83",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-12",,,"92","H,,S","101",",,S","83",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-13",,,"94","H,,S","105",",,S","82",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-14",,,"98","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-15",,,"99","H,,S","114",",,S","84",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-16",,,"96","H,,S","105",",,S","86",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-17",,,"94","H,,S","103",",,S","87",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-18",,,"92","H,,S","100",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-19",,,"93","H,,S",,,"83",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-20",,,"95","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-21",,,"96","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-22",,,"97","H,,S","106",",,S","86",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-23",,,"98","H,,S","109",",,S","70",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-24",,,"98","H,,S","109",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-25",,,"97","H,,S","108",",,S","88",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-26",,,"96","H,,S","105",",,S","71",",,S"
